date,time,symbol,entry_price,market_real,market_forecast,regime,learning_mode,conclusion,winprob,elite_score,consensus,nav,group,storm,persistence,dna,evolution,recent_change,rsi,slope,dist_ema9,obv,market_score,action_score,storm_score,evo_score,zone_score,penalty,t1_return,t3_return,t5_return,t1_win,t3_win,t5_win,last_outcome_update
2026-06-25,17:57:56,ACB,22400.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,69.8,5/6,0%,PULL VỪA,10.5,2.5,⚪ MỚI,1,0,57.68,0.16,0.28,🟢,0.0,15.214999999999998,14.0,6.12,18.75,0.0,0.89,,,1.0,,,2026-06-29 07:30:57
2026-06-25,17:57:56,TNG,19800.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,69.7,5/6,0%,PULL VỪA,21.5,2.3,⚪ MỚI,1,0,56.72,1.76,1.71,🟢,0.0,13.515,14.0,7.694999999999999,18.75,0.0,0.0,,,0.0,,,2026-06-29 07:30:57
2026-06-25,17:57:56,SAB,48600.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,69.4,5/6,0%,PULL VỪA,14.5,1.5,⚪ MỚI,2,0,57.09,0.58,0.85,🟢,0.0,15.3,14.0,5.625,18.75,0.0,0.21,,,1.0,,,2026-06-29 07:30:57
2026-06-25,17:57:56,STB,72200.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,64.2,4/6,0%,PULL VỪA,8.5,2.3,⚪ MỚI,0,0,56.34,1.59,1.01,🟢,0.0,14.535,12.95,4.2525,18.75,0.0,2.08,,,1.0,,,2026-06-29 07:30:57
2026-06-25,17:57:56,NTP,50700.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,61.2,4/6,0%,PULL VỪA,4.5,2.7,⚪ MỚI,0,0,56.91,0.81,0.34,🟢,0.0,14.875,10.15,3.645000000000001,18.75,0.0,0.2,,,1.0,,,2026-06-29 07:30:57
2026-06-25,17:57:56,MSB,15750.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,52.5,4/6,0%,PULL VỪA,,4.3,🟡 BỀN,-4,0,66.23,2.94,1.83,🟢,0.0,14.195,0.0,5.805,18.75,0.0,0.95,,,1.0,,,2026-06-29 07:30:57
2026-06-25,17:57:56,BSI,34700.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,41.4,3/6,0%,MUA EARLY,,3.7,🟡 BỀN,-5,0,65.67,4.64,2.37,🟢,0.0,13.43,0.0,4.995000000000001,11.25,0.0,-1.3,,,0.0,,,2026-06-29 07:30:57
2026-06-25,17:57:56,BAF,29850.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,40.3,2/6,0%,PULL VỪA,,3.0,⚪ MỚI,0,0,64.94,1.55,0.6,🟢,0.0,7.565,0.0,4.2525,18.75,0.0,-1.01,,,0.0,,,2026-06-29 07:30:57
2026-06-25,17:57:56,VPB,26700.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,32.0,3/6,0%,MUA EARLY,,1.3,⚪ MỚI,2,0,53.05,0.24,1.16,🟢,0.0,14.11,0.0,6.907500000000001,11.25,12.0,0.19,,,1.0,,,2026-06-29 07:30:57
2026-06-25,17:57:56,HDB,25600.0,5.0,1.2,🔴 MÙA ĐÔNG,WARMUP,WATCHLIST - MARKET YẾU,55,31.2,3/6,0%,MUA EARLY,,1.7,⚪ MỚI,2,0,49.58,0.41,0.64,🟢,0.0,14.11,0.0,6.0525,11.25,12.0,-0.78,,,0.0,,,2026-06-29 07:30:57
