sample_id,date,time,schema_version,symbol,market_real,market_forecast,market_regime,market_phase,breadth_score,is_ai,is_leader,is_earning,is_final_decision,group,price,total_score,E,R,O,S,RS,V,rsi14,ema9_ma20_slope,dist_from_ema9_pct,obv_status,volume,vol_ma20,green_2_confirm,early_green2,early_dry_green2,warning,rsi_bucket,rs_bucket,obv_bucket,pattern_signature,t1_return,t3_return,t5_return,t10_return,t1_win,t3_win,t5_win,t10_win,daily_price_before_live,live_source,live_ts,is_live_adjusted,ema9,ma20,ema9_ma20_slope_change,slope_state,rsi_slope,obv,obv_ema9,breakout_ref,pull_label,rs5,rs10,dryup_ratio_5,dryup_ratio_10,near_bottom_20_pct,near_bottom_60_pct,dist_high20_pct,body_pct,status,group_rank,_health_rsi,_health_ema,_health_obv,_health_rs,_health_volume,_health_position,_health_pattern,evolution_health_score,evolution_health_group,evolution_health_rank,evolution_action,evolution_reason
2026-09-22_15:22:04_ANV,2026-09-22,15:22:04,GENESIS_V24,ANV,6.0,0.7,,,,False,False,False,False,MUA EARLY,16100.0,3,1,0,2,0,0,0,40.92,-2.71,0.24,🟢,255288.0,425084.0,,,,RSI yếu | Slope âm | Pull xấu,40-45,-2~0,🟢,G=MUA EARLY|RS=-2~0|RSI=40-45|OBV=🟢|E=1|R=0|S=0|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,16100.0,D1_FINAL,2026-09-22 14:45:00+07:00,True,16061.86,16510.0,0.52,🔴 Yếu,2.02,42002788.0,41830889.0,17800.0,PULL XẤU,0.94,-1.23,0.93,0.93,5.23,5.23,-9.55,0.31,🟡,5,57.85,28.522,100.0,54.27875,57.19609031895545,76.43541666666667,35.0,59.0,🟡 TRUNG TÍNH,1,👀 THEO DÕI,OBV tốt + Vị trí giá tốt
2026-09-22_15:22:04_BMP,2026-09-22,15:22:04,GENESIS_V24,BMP,6.0,0.7,,,,False,False,False,False,MUA EARLY,144100.0,4,2,0,0,1,1,0,49.27,0.17,0.33,🔴,30300.0,70125.0,,,,OBV gãy | RSI yếu | Pull xấu,45-50,0~2,🔴,G=MUA EARLY|RS=0~2|RSI=45-50|OBV=🔴|E=2|R=0|S=1|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,144100.0,D1_FINAL,2026-09-22 14:15:00+07:00,True,143622.75,143385.0,0.17,🟡 Ổn định,1.08,1146500.0,1230245.0,147600.0,PULL XẤU,-2.37,2.13,1.08,1.03,4.27,4.27,-2.37,0.63,🟡,5,70.06714285714285,52.48199999999999,0.0,39.9,41.15100585688821,84.58958333333332,35.0,43.6,🔴 YẾU,2,⏳ CHỜ,OBV xấu + Thiếu mẫu xác nhận
2026-09-22_15:22:04_BSR,2026-09-22,15:22:04,GENESIS_V24,BSR,6.0,0.7,,,,False,False,False,False,MUA EARLY,31350.0,7,2,1,1,2,1,0,72.28,6.5,4.54,🟢,10946100.0,12359635.0,,,,RSI chững | Pull xấu,>=70,0~2,🟢,G=MUA EARLY|RS=0~2|RSI=>=70|OBV=🟢|E=2|R=1|S=2|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,31350.0,D1_FINAL,2026-09-22 14:15:00+07:00,True,29989.69,28160.0,1.53,🟢 Tăng tốc,-1.84,775979600.0,756366581.0,31850.0,PULL XẤU,2.96,16.11,1.52,1.29,19.2,37.86,-1.57,-0.63,🟡,5,49.53999999999999,94.568,100.0,54.18000000000001,84.34599519206792,71.39791666666666,35.0,72.6,🌱 ĐANG HỒI,0,🟢 MUA / GIỮ,OBV tốt + Xu hướng lên + Vol xác nhận
2026-09-22_15:22:04_BVH,2026-09-22,15:22:04,GENESIS_V24,BVH,6.0,0.7,,,,False,False,False,False,PULL VỪA,69700.0,5,2,1,1,2,1,-2,60.54,3.81,1.79,🟢,910203.0,683805.0,,,,RSI chững,60-65,0~2,🟢,G=PULL VỪA|RS=0~2|RSI=60-65|OBV=🟢|E=2|R=1|S=2|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,69700.0,D1_FINAL,2026-09-22 14:15:00+07:00,True,68476.08,65959.9,1.09,🟢 Tăng tốc,-1.57,18309197.0,18140536.0,71700.0,PULL VỪA,-0.71,10.63,1.54,1.22,10.63,23.14,-2.79,-1.13,🟡,4,72.28785714285715,90.394,100.0,46.15916666666666,73.22994128443051,90.75208333333332,35.0,74.1,🌱 ĐANG HỒI,0,🟢 MUA / GIỮ,OBV tốt + Vị trí giá tốt + Xu hướng lên
2026-09-22_15:22:04_BVS,2026-09-22,15:22:04,GENESIS_V24,BVS,6.0,0.7,,,,False,False,False,False,MUA EARLY,28600.0,6,2,0,2,1,1,0,54.46,0.89,1.33,🟢,570600.0,919355.0,,,,RSI yếu | RSI chững | Pull xấu,50-55,0~2,🟢,G=MUA EARLY|RS=0~2|RSI=50-55|OBV=🟢|E=2|R=0|S=1|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,28600.0,NO_DATA,,False,28224.45,27975.0,-0.63,🟡 Ổn định,-2.5,5079100.0,5053056.0,30700.0,PULL XẤU,2.51,1.42,0.9,0.84,8.33,17.7,-6.84,0.35,🟡,5,67.17571428571429,54.482,100.0,58.09291666666668,59.109764065956185,87.43333333333332,35.0,67.6,🟡 TRUNG TÍNH,1,👀 THEO DÕI,OBV tốt + Vị trí giá tốt + RSI cải thiện
2026-09-22_15:22:04_CMG,2026-09-22,15:22:04,GENESIS_V24,CMG,6.0,0.7,,,,False,False,False,False,MUA EARLY,23100.0,4,1,0,2,0,1,0,43.12,-1.99,0.16,🟢,136400.0,129100.0,,,,RSI yếu | Slope âm | Pull xấu,40-45,0~2,🟢,G=MUA EARLY|RS=0~2|RSI=40-45|OBV=🟢|E=1|R=0|S=0|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,23100.0,D1_FINAL,2026-09-22 14:45:00+07:00,True,23062.93,23530.0,0.12,🔴 Yếu,3.41,-7900900.0,-7967216.0,24900.0,PULL XẤU,1.32,-0.86,0.79,0.93,2.67,2.67,-7.23,-2.53,🟡,5,66.80071428571428,32.762,100.0,55.39416666666666,99.37663678949504,78.25208333333333,35.0,65.0,🟡 TRUNG TÍNH,1,👀 THEO DÕI,OBV tốt + Vol xác nhận + Vị trí giá tốt
2026-09-22_15:22:04_DCM,2026-09-22,15:22:04,GENESIS_V24,DCM,6.0,0.7,,,,False,False,False,False,MUA EARLY,33950.0,8,2,1,2,2,1,0,63.25,2.5,2.34,🟢,2762100.0,3454715.0,,,,Pull xấu,60-65,0~2,🟢,G=MUA EARLY|RS=0~2|RSI=60-65|OBV=🟢|E=2|R=1|S=2|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,33950.0,D1_FINAL,2026-09-22 14:15:00+07:00,True,33173.72,32364.95,0.05,🟢 Tăng tốc,7.51,77563500.0,73169517.0,34250.0,PULL XẤU,0.44,3.66,1.03,1.06,10.05,17.47,-0.88,1.04,🟡,5,90.25,72.78,100.0,49.00249999999999,76.14438321457568,88.61666666666667,35.0,74.0,🌱 ĐANG HỒI,0,🟢 MUA / GIỮ,OBV tốt + RSI cải thiện + Vị trí giá tốt
2026-09-22_15:22:04_DPM,2026-09-22,15:22:04,GENESIS_V24,DPM,6.0,0.7,,,,False,False,False,False,MUA EARLY,22900.0,4,2,1,0,1,0,0,55.95,0.87,0.57,🔴,1889900.0,3708435.0,,,,OBV gãy | RSI chững | Pull xấu,55-60,-2~0,🔴,G=MUA EARLY|RS=-2~0|RSI=55-60|OBV=🔴|E=2|R=1|S=1|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,22900.0,D1_FINAL,2026-09-22 14:45:00+07:00,True,22770.72,22575.0,-0.42,🟡 Ổn định,-0.17,65509100.0,71720307.0,23750.0,PULL XẤU,-0.65,0.22,1.19,1.07,4.09,10.9,-3.58,0.44,🟡,5,78.09785714285715,55.47800000000001,0.0,47.48791666666666,48.53542699021991,85.12916666666666,35.0,47.9,⚠️ YẾU DẦN,3,🟠 HẠN CHẾ / GIẢM,OBV xấu + Thiếu mẫu xác nhận
2026-09-22_15:22:04_DPR,2026-09-22,15:22:04,GENESIS_V24,DPR,6.0,0.7,,,,False,False,False,False,MUA EARLY,37600.0,3,0,0,2,1,0,0,52.5,0.45,-0.19,🟢,131300.0,221170.0,,,,RSI yếu | RSI chững | Giá dưới EMA9 | Pull xấu,50-55,-2~0,🟢,G=MUA EARLY|RS=-2~0|RSI=50-55|OBV=🟢|E=0|R=0|S=1|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,37600.0,D1_FINAL,2026-09-22 14:45:00+07:00,True,37670.39,37502.5,-0.67,🟡 Ổn định,-3.89,25224800.0,25206395.0,39000.0,PULL XẤU,-0.4,0.4,0.86,1.09,1.9,7.12,-3.59,0.13,🟡,5,58.67071428571429,50.298,100.0,48.266666666666666,56.53914140598592,79.41874999999999,35.0,62.2,🟡 TRUNG TÍNH,1,👀 THEO DÕI,OBV tốt + Vị trí giá tốt
2026-09-22_15:22:04_DRI,2026-09-22,15:22:04,GENESIS_V24,DRI,6.0,0.7,,,,False,False,False,False,PULL VỪA,14000.0,9,2,2,2,1,1,1,65.31,1.99,1.94,🟢,416700.0,756635.0,,,,,65-70,0~2,🟢,G=PULL VỪA|RS=0~2|RSI=65-70|OBV=🟢|E=2|R=2|S=1|G2=nan|EARLY=nan|MKT=nan,,,,,,,,,14000.0,NO_DATA,,False,13733.82,13466.0,-0.1,🟡 Ổn định,3.02,44718200.0,43095329.0,14170.0,PULL VỪA,4.32,2.19,1.39,1.29,8.86,20.17,-1.2,-4.11,🟢,4,79.49428571428572,67.35,100.0,64.10875,52.4502756093946,91.28333333333332,35.0,73.3,🌱 ĐANG HỒI,0,🟢 MUA / GIỮ,OBV tốt + Vị trí giá tốt + RSI cải thiện
