market_context_key,stock_pattern_key,pattern_key,horizon,samples,wins,leaders,avg_return_pct,median_return_pct,avg_max_gain_pct,avg_max_drawdown_pct,best_return_pct,worst_return_pct,first_seen,last_seen,win_rate_pct,leader_rate_pct,win_rate_lower_bound_pct,knowledge_score,updated_at,module_version,brain_generation,feature_version
NA|NA|<4,WEAKENING|<45|-2-0|-2-0|STRONG_NEG|POSITIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|<45|-2-0|-2-0|STRONG_NEG|POSITIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,1,1,1,8.916083916083917,8.916083916083917,8.916083916083917,0.8741258741258751,8.916083916083917,8.916083916083917,2026-07-27,2026-07-27,100.0,100.0,37.84475032253529,44.70496281996606,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,RECOVERING|65-70|>=10|2-5|STRONG_POS|POSITIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[RECOVERING|65-70|>=10|2-5|STRONG_POS|POSITIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,1,1,1,8.681672025723476,8.681672025723476,8.681672025723476,0.0,8.681672025723476,8.681672025723476,2026-07-31,2026-07-31,100.0,100.0,37.84475032253529,44.63463925285792,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|NA,RECOVERING|65-70|>=10|2-5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|NA]::DNA[RECOVERING|65-70|>=10|2-5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,1,1,1,8.681672025723476,8.681672025723476,8.681672025723476,0.0,8.681672025723476,8.681672025723476,2026-08-01,2026-08-01,100.0,100.0,37.84475032253529,44.63463925285792,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,RECOVERING|50-55|2-5|>=5|STRONG_NEG|POSITIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[RECOVERING|50-55|2-5|>=5|STRONG_NEG|POSITIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,1,1,1,6.96474634565778,6.96474634565778,6.96474634565778,6.96474634565778,6.96474634565778,6.96474634565778,2026-07-29,2026-07-29,100.0,100.0,37.84475032253529,44.11956154883822,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,NEUTRAL|45-50|-2-0|2-5|STRONG_NEG|POSITIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[NEUTRAL|45-50|-2-0|2-5|STRONG_NEG|POSITIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,1,1,1,6.546762589928057,6.546762589928057,6.546762589928057,4.604316546762588,6.546762589928057,6.546762589928057,2026-07-28,2026-07-28,100.0,100.0,37.84475032253529,43.9941664221193,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAK|<45|-2-0|2-5|STRONG_NEG|NEGATIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAK|<45|-2-0|2-5|STRONG_NEG|NEGATIVE|1.0-1.2|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,1,1,1,6.029106029106024,6.029106029106024,6.029106029106024,0.0,6.029106029106024,6.029106029106024,2026-07-31,2026-07-31,100.0,100.0,37.84475032253529,43.83886945387269,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|NA,WEAK|<45|-2-0|2-5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|NA]::DNA[WEAK|<45|-2-0|2-5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,1,1,1,6.029106029106024,6.029106029106024,6.029106029106024,0.0,6.029106029106024,6.029106029106024,2026-08-01,2026-08-01,100.0,100.0,37.84475032253529,43.83886945387269,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,WEAKENING|45-50|<-2|2-5|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[WEAKENING|45-50|<-2|2-5|STRONG_NEG|NEGATIVE|<0.7|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,1,1,1,5.932203389830515,5.932203389830515,6.214689265536721,-0.7062146892655385,5.932203389830515,5.932203389830515,2026-07-27,2026-07-27,100.0,100.0,37.84475032253529,43.83804724966066,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|<4,NEUTRAL|45-50|0-2|>=5|POS|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|<4]::DNA[NEUTRAL|45-50|0-2|>=5|POS|NEGATIVE|>=1.5|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,1,1,1,5.657237936772042,5.657237936772042,5.657237936772042,0.0,5.657237936772042,5.657237936772042,2026-07-31,2026-07-31,100.0,100.0,37.84475032253529,43.72730902617249,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
NA|NA|NA,WEAKENING|<45|<-2|>=5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA,CTX[NA|NA|NA]::DNA[WEAKENING|<45|<-2|>=5|NA|NEUTRAL|NA|NO_G2|NO_EARLY|NO_PULL|NO_DRYUP|NA],3,44,40,9,2.925839872261187,2.834533915325488,2.9480269381664197,-0.4600857590509085,8.139534883720923,-4.8387096774193505,2026-07-26,2026-08-01,90.9090909090909,20.454545454545457,83.78854941530169,43.69845426879101,2026-08-04T04:29:18Z,4.0.0,GEN3_EXPERIENCE,DECISION_CONTEXT_V1
