observer_id,t0_date,symbol,observer_status,market_real_t0,market_forecast_t0,breadth_t0,market_regime_t0,market_context_key,context_match_level,earning_universe_n,price_t0,rs5_t0,rs10_t0,rsi14_t0,matched_sweetspot,sweetspot_horizon,historical_sample_n,historical_winrate,historical_avg_return,historical_median_return,evidence_status,t3_return_pct,t5_return_pct,t10_return_pct,created_at
fa7d4ea6990883fa,2026-08-14,,INSUFFICIENT_CONTEXT_EVIDENCE,5.6,1.0,29.0,🔴 MÙA ĐÔNG,<4|20-40|4-6,INSUFFICIENT,142,,,,,,,,,,,,,,,2026-08-14T12:02:47Z
3563d8e4247184ee,2026-08-17,,INSUFFICIENT_CONTEXT_EVIDENCE,6.2,1.4,32.0,🟡 TRUNG TÍNH,<4|20-40|6-8,INSUFFICIENT,142,,,,,,,,,,,,,,,2026-08-17T12:56:02Z
5f8b3322f12fb1cb,2026-08-18,,INSUFFICIENT_CONTEXT_EVIDENCE,5.7,1.3,30.0,🔴 MÙA ĐÔNG,<4|20-40|4-6,INSUFFICIENT,142,,,,,,,,,,,,,,,2026-08-18T12:14:10Z
88be29298cf1f3a0,2026-08-19,,NO_QUALIFIED_SWEETSPOT,5.0,1.2,26.0,🔴 MÙA ĐÔNG,<4|20-40|4-6,EXACT,142,,,,,,,,,,,,,,,2026-08-19T11:29:27Z
f40ba69788477174,2026-08-20,,NO_QUALIFIED_SWEETSPOT,5.3,1.1,28.0,🔴 MÙA ĐÔNG,<4|20-40|4-6,EXACT,142,,,,,,,,,,,,,,,2026-08-20T11:13:15Z
329d39a234811087,2026-08-21,PDR,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,12300.0,2.93,3.36,48.77,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,2.8455284552845628,-0.8130081300813052,-4.471544715447151,2026-08-21T12:19:21Z
62ff0aa59ab5aff0,2026-08-21,HDC,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,12150.0,2.53,3.85,48.32,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,1.2345679012345734,-3.703703703703709,-6.584362139917699,2026-08-21T12:19:21Z
db3e2dded12cdfa3,2026-08-21,CTD,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,62500.0,0.81,0.64,49.06,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,0.4799999999999915,-0.9600000000000052,-7.199999999999996,2026-08-21T12:19:21Z
29288c6606fb47c8,2026-08-21,SSB,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,15300.0,1.66,1.66,48.72,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,4.575163398692816,14.05228758169934,19.6078431372549,2026-08-21T12:19:21Z
c1f50139c9ced85d,2026-08-21,VGS,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,18200.0,1.11,2.25,46.21,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,1.098901098901095,-2.197802197802201,-7.692307692307687,2026-08-21T12:19:21Z
c38d2d976d58530b,2026-08-21,HHV,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,10150.0,1.0,1.0,49.61,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,0.0,-1.6748768472906406,-6.009852216748768,2026-08-21T12:19:21Z
f549f35bf323a418,2026-08-21,AGR,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,13300.0,3.5,1.92,49.52,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,-1.1278195488721776,-1.1278195488721776,-4.8872180451127845,2026-08-21T12:19:21Z
fdc0256eff35b9ba,2026-08-21,HAG,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,14150.0,0.71,0.71,47.07,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,0.3533568904593664,-1.0600706713780883,-3.886925795053009,2026-08-21T12:19:21Z
f3afef7837caa467,2026-08-21,VCG,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,15900.0,0.63,1.6,46.78,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,0.3144654088050425,-0.943396226415094,-5.345911949685533,2026-08-21T12:19:21Z
b2fb06306db74550,2026-08-21,NT2,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,21400.0,0.94,0.23,48.74,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,-1.869158878504673,-4.439252336448596,-4.2056074766355085,2026-08-21T12:19:21Z
f240f8bd9393137c,2026-08-21,PVC,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,12100.0,0.83,0.0,47.72,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,1.6528925619834656,0.0,0.0,2026-08-21T12:19:21Z
1933a43cdce7f7d2,2026-08-21,VIB,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,14750.0,2.43,0.68,48.98,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,1.016949152542379,2.033898305084736,-10.169491525423725,2026-08-21T12:19:21Z
f465d59e9062fa08,2026-08-21,VPX,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,25550.0,3.65,0.79,49.11,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,1.7612524461839474,-0.9784735812133128,-6.06653620352251,2026-08-21T12:19:21Z
8f3a4710b17e4bc2,2026-08-21,VCK,OBSERVE,9.0,3.8,61.0,🟡 TRUNG TÍNH,<4|60-80|>=8,FAMILY,142,30400.0,2.7,0.16,49.46,RS5=0 → 5 | RS10=0 → 5 | RSI14=45 → 50,T3,20.0,15.0,-1.8096,-2.2662,EARLY,0.0,-0.8223684210526327,-4.605263157894735,2026-08-21T12:19:21Z
